full_text,predicted_insurance_labels,true_labels
Delta Botanik international trading company base Istanbul Turkey specialize trade natural rubber copra palm oil cocoa coffee tropical fruit plant juice spice similar food product focus human health environmentally friendly option trade high energy source charcoal sawdust plywood furniture industry inorganic fertilizer farmer team experienced professional Delta Botanic source product need continue expand international trade successfully export product european african turkish country Mersin Turkey open expand coffee products palm oil organic fertilisers international trade facilitation services visible plywood products photo paper products cocoa products spice products highenergy welded timber products inorganic fertilizers tea and plantbased products tropical fruits wholesale chemicals other farm product raw material merchant wholesalers,"['rendering services', 'environmental health services', 'coffee processing services']","['chemical manufacturing', 'food processing services', 'business development services']"
Mari oasis Black Woman own company base Detroit Michigan specialize craft luxury self care product natural organic ingredient know beneficial skin product include hand pour wooden wick soy candle clay infuse handmade soap body oil product handmade small batch ensure quality available wholesale purchasing Mari ozone offer private Label opportunity interested brand line wholesale clayinfused handmade soaps body care products oils  butters luxury wooden wick soy candles body oils body fluff wax candles retailing wholesale gift shops wholesale trade agents and brokers,"['non-profit management', 'soap production services', 'wood product manufacturing']","['cosmetic manufacturing', 'soap production services']"
Energy Notes company focus energy policy role achieve low carbon economy company examine energy policy effectively address old issue new problem successfully address past explore potential role electricity sector achieve goal address new issue planning permit smart meter energy efficiency measure carbon market technology policy security supply quality service investment level permit planning investment levels smart metering energy policy consulting carbon markets technology policy supply security wholesale utility companies fossil fuel electric power generation,['technology consulting'],"['management consulting', 'technology consulting']"
HG Drywall Painting LLC drywall contractor base Milwaukee Wisconsin offer range service include drywall installation repair finishing interior exterior painting residential commercial property team professional experience dedicate provide complete transparency customer satisfaction specialize drywall repair installation texture service commercial residential property construction services house painting services demolition services remodeling services texture services drywall installation services taping services services drywall  insulation contractors drywall and insulation contractors,"['drywall services', 'painting services', 'commercial construction services']","['drywall services', 'painting services']"
株式企社西日本企業熊本 japanese company specialize construction service include foundation construction site work superpoint construction Casing Construction Law offer sale construction material company foundation call Foundation Future aim contribute future planet construction project management construction services super pipe systems construction materials supplier superpipeline construction services services concrete work structural steel and precast concrete contractors,"['project management services', 'pipeline construction services', 'precast concrete installation']","['commercial construction services', 'project management services']"
Roman Roland Home Textile chinese company specialize eco friendly home textile production company Lixin Group diversified group enterprise textile main business Roman Roland LIXing Group total asset billion yuan major rd basis manufacture textile Suzhou Taizhou Roman Roland brand originate Paris capital fashion integrate modern fashion cultural element traditional chinese silk weaving process create eco creative home textile brand brand offer high quality brand fabric fashion woman apparel home textile ODM service China textile industry fashion accessories creative products and gifts hotel textiles womens fashion home textiles odm services fabric dyeing ecofriendly textile products highquality fabrics research into new outdoor materials manufacturing fabricbased home goods broadwoven fabric mills,"['textile manufacturing services', 'stakeholder services', 'rendering services']",['textile manufacturing services']
Hudbay mining company specialize acquisition exploration development distribution copper zinc property copper mining equipment manufacturer community relations services longterm growth strategy health and safety support miningfriendly regions mining company copper and zinc distribution mining and quarrying digital technologies integration lowcost longlife cashgenerating mines valuable metals diverse workforce financials and reports inclusive and diverse mining workforce sustainability reporting sustainability commitment in mining merit and achievement programs mining company growth responsible mining supply chain management services manufacturing mining  gas exploration copper nickel lead and zinc mining,"['corporate responsibility services', 'stakeholder services', 'community engagement services']","['business development services', 'management consulting']"
eFerros de Passar Vapor Steamer Profissional Vaporizador Industrial brazilian company specialize high performance industrial steam steamer vaporizer company found early 1990 young entrepreneur recognize lack quality option industry begin offer maintenance service professional industrial laundry equipment São Paulo year company pioneer e commerce industry offer wide range product include steamer steamer vaporizer part clothing product know high performance durability focus achieve perfect alignment clothing roof and iron parts continental parts manufacturing clothing manufacturer jolly juicer parts passivate iron manufacturer retail professional parts for industrial vaporizers equipment steamer vaporizer manufacturing manufacturing industrial air solutions industrial and commercial fan and blower and air purification equipment manufacturing,"['seo services', 'steam services', 'well maintenance services']","['steam services', 'industrial machinery installation']"
ceremony Joi company specialize provide service individual couple family navigate life sacred moment decade experience company offer counseling assistance write wedding vow baptize child assist family say goodbye facilitate spiritual retreat founder ordain minister Master Divinity Duke University Divinity School work people faith tradition design ceremony well fit personal need ceremony place setting include church local venue private setting wedding vow writing counseling services goodbyes assistance ordained minister services baptizing babies spiritual retreats services funeral services  cemeteries all other personal services,"['rendering services', 'well maintenance services', 'stakeholder services']",['event planning services']
Action Products american company specialize automotive detail product soap wax degreaser tire dressing product formulate protect value toy harsh dirt gentle vehicle brand build professional detailer detailer offer range product include Jade Ceramic Emerald Quartz Pro Glass Cleaner Strawberry Marg Cool Mint Detailer 16 oz combo automotive degreasers automotive accessories wholesaler ceramic jade glass cleaners tire dressing strawberry marg  cool mint detailer motor vehicle supplies automotive waxes 16 fl oz combo automotive detailing services foam cannon wheelchair accessible entrance manufacturing cleaning equipment  supplies polish and other sanitation good manufacturing,"['well maintenance services', 'building cleaning services', 'branding services']",['chemical manufacturing']
Modelando Mi Mundo pastry shop locate Recoleta Argentina specialize artisanal sweet bread pastry chocolate offer variety product pastry buttercream buttercream cream milk fondant chocolate offer range chocolate product include chocolate tablet jar box ganache chocolate ganachos bombone addition pastry product Modelando mi Mundo provide decoration cake include special occasion wedding event artisanal sweet bread creme de mascot production buttercream production glass boxes manufacturing chocolate tablets producer milkbased sweets production decorated cakes production ganache de chocolate production french macaron production retail bakeries  desserts confectionery and nut retailers,"['confectionery manufacturing', 'arts services', 'rendering services']","['bakery production services', 'confectionery manufacturing']"
West Penetone Canada world leader development cleaning sanitation product environmentally friendly company know innovative chemical technology cutting edge expertise earn respect industry establishment Canada West Penetone commit provide chemical disinfectant cleaner meet high government standard sanitary condition constant evolution industry operate motivate company invest research development develop solution greener safe economical manufacture facility Montreal Edmonton West Pentone provide cost effective solution field petrochemical mining transportation food processing range product expert service sanitary term demonstrate company seriousness approach extent know inorganic chemical manufacturing chemicals cleaners for planned shutdowns chemical manufacturing services manufacturing degassing decontamination special chemicals research and development iso certification chemical plants digital printing specialties cleaning solutions for supermarkets cleanings for oil and agribusiness industry water treatment chemistries ecofriendly cleaning cleaning  disinfecting drilling services specialty chemicals for agriculture manufacturing cleaning equipment  supplies polish and other sanitation good manufacturing,"['food processing services', 'building cleaning services', 'corporate responsibility services']","['chemical manufacturing', 'building cleaning services', 'water treatment services']"
Blue Marine Cleaning company specialize naval sanitation service boat ship Alpes Maritimes region France offer cleaning service fuel tank black grey water tank fresh water tank tank oily water tank company collect transport hazardous waste dirty oil oily black grey water engine coolant filter absorbent clothe glove absorbent cloth authorize center provide regular maintenance freshwater tank preserve quality fresh water board ensure safety user Blue Marine Cleaners specialize fuel centrifugation filtration diesel analysis supply diesel fuel marine vessel naval sanitation services used filters water treatment and pumping services filtrationcentrifugationtreatment of fuel cleaning of all onboard reservoirs diesel diagnostics services environmentalfriendly waste treatment and recovery systems used clothing collection and disposal fuel tank cleaning services unblocking pipelines collection and transport of used filtering used chiffons cleaning service used filters collection and transportation clean machine bay cleaning marine pollution emergencies used absorbents collection services used oil absorbent clothing debris removal pipeline cleaning and unclog services centrifuge and filtration services services garbage collection  waste disposal all other miscellaneous waste management services,"['waste management services', 'corporate responsibility services', 'stakeholder services']","['waste management services', 'water treatment services']"
Metro Engineering Industries prominent company specialize manufacturing exporting material handling equipment commercial industrial purpose know precision engineer product develop complete competence material handling equipment manufacturer exporting manufacturing precision engineering wholesale heavy construction equipment construction and mining except oil well machinery and equipment merchant wholesalers,['industrial machinery installation'],['industrial machinery installation']
Anastasia Knight popular adult entertainment star Florida entertainment industry 2017 know ability manage size cock constantly try new technique provide high quality performance Anastasia headline world entertainment upset norm old actress set bubbly outgoing personality strong desire succeed industry media and entertainment training sessions personal and professional growth services video and audio production motion picture and video distribution,"['training services', 'media production services', 'rendering services']",['media production services']
Liuzhou Shuangxu Trading Co Ltd appliance store locate Liuzhou Guangxi China electric housewares electronics retailer and wholesaler home appliances retail appliance stores electronics and appliance retailers,"['residential electrical services', 'commercial electrical services']",['e-commerce services']
Fuseblower company focus food wine travel culture offer variety content relate topic include review book restaurant recommendation wine food experience company aim provide insight recommendation audience food and beverage services media and entertainment italian wines cultural insights and recommendations italian cuisine cultural travel wholesale wine shops  wineries wine and distilled alcoholic beverage merchant wholesalers,"['travel services', 'content creation services']","['content creation services', 'travel services']"
Kamei Toshin Co Ltd wholesaler food product market commercial use follow Kyushu sale logistic base Kumamoto Fukuoka Miyazaki Kagoshima Nagasaki Saga Oita company handle distribution food product 4000 place include supermarket restaurant school hospital 1100 food manufacturer merchant country Kamei Tosan deliver 30000 item daily supermarket yen  2 order food service market include school catering medical meal hospital canteen university company industrial catering seasonal feel creation storefront building support food infrastructure wholesale food products food ingredient arrangement recipes wholesale groceries general line grocery merchant wholesalers,"['rendering services', 'stakeholder services', 'food processing services']",['food processing services']
Fico Cabine Enfida company specialize provide high quality hand handkerchief 100 organic cotton fabric employee management software process management tools management software legal services services insurance  agents carriers  brokers pharmacy benefit management and other third party administration of insurance and pension funds,"['legal services', 'insurance services']","['textile manufacturing services', 'insurance services', 'legal services']"
HFR International Horse Transport global company specialize international horse transport air transportation 15 year experience schedule flight horse destination continent company prioritize horse organize aspect travel include arrange require blood test permit document professional flight attendance quarantine need HFR International extensive network experienced partner provide ground transportation CEM quarantaine layover founder owner Humberto involve detail barn barn transportation process ensure worry free experience client airport regular schedule flight major city world import and export quarantine services air transportation services ground transport flight scheduling services agent cooperation services professional inflight attendance documents and permits cem quarantine or layovers international horse transport services services trucking and logistics nonscheduled chartered freight air transportation,"['travel services', 'stakeholder services']","['project management services', 'consulting services']"
TransPack Systems company specialize export packaging offer comprehensive solution packaging product good efficient reliable cost effective manner company capable accommodate customer require packaging industrial product destine railway railway sea air transport present company solely focused package industrial product air and sea packaging supplierdistributor packaging and storage services wooden packaging manufacturer packaging baskets services trucking and logistics general freight trucking local,['rendering services'],['wood product manufacturing']
Ouchi de Ouchide official online store specialize provide cute delicious candy tea collaboration good company offer variety product cute picture know delicious treat business inquiries handling adorable candies tomb raider heavenly legend rock and blues café promotional activities order processing punisher cute slither online retail angel and devil vol1 tea products retail gift shops gift novelty and souvenir retailers,"['e-commerce services', 'rendering services']",['confectionery manufacturing']
company specialize international trade specifically import export product worldwide prioritize safe reliable logistic ensure smooth business process client supplier offer high quality printing consumable computer monitor notebook smartphone tablet hdd ssd accessory company provide renewable energy solution solar panel water power wind power generate necessary power cause damage planet international trade services computer products smartphone products personal use products renewable energy solutions logistics services highquality printer consumables export services tablet products monitor products wholesale electronical components retailer computer and computer peripheral equipment and software merchant wholesalers,"['printing services', 'accessory manufacturing', 'stakeholder services']",['business development services']
Woodway Garage Door Repair company base Woodway Washington specialize garage door repair service offer 247 emergency service team highly professional expert knowledge local street commitment customer satisfaction evident upfront competitive pricing quick response time attention detail provide site assessment consultation wide range service include garage door installation maintenance repair residential commercial industrial property team expert equip right tool come fully equip handle garage door challenge focus safety customer satisfaction Woodway Garage Doors Repair dedicate provide trust reliable garage door solution  services elevators  ramps  installation  service other building equipment contractors,"['well maintenance services', 'stakeholder services', 'advertising services']",['general handyman services']
Rapsay company specialize production young fun sustainable product product ethically manufacture include bag banana fiber fabric products coconut products glass bottles manufacturer tin products manufacturer wood products paper products sustainable manufacturing banana fiber products manufacturing paper  cardboard products paperboard mills,"['paper production services', 'wood product manufacturing']",['textile manufacturing services']
Ecosphere Organics alternative material company specialize transform organic waste high value raw material industry use AI technology optimize resource recovery material processing enable sustainable circular economy solution company collaborate waste manager biorefiner recycler drive eco friendly practice chemical plastic food service manufacturing sector platform transform waste stream valuable product input foster circular economy partnership create closed loop system sustainable future Ecosphere Organives aim reduce greenhouse gas emission divert organic waste landfill resource recovery maximization production resources circular economy implementation organic waste transformation carbon footprint reduction transformed organic products environmental impact assessment and minimization biomaterials production seamless material management integration biorefining process material optimization services smart supply chain alternative materials company advanced ai technology comprehensive product platform datadriven insights ecofriendly practices circular economy solutions highquality raw materials datadriven innovation cuttingedge processing techniques sustainable end products services garbage collection  waste disposal other nonhazardous waste treatment and disposal,"['non-profit management', 'stakeholder services', 'seo services']","['waste management services', 'recycling services']"
feilixin chinese company specialize design research development manufacturing engineering contracting high level waste water treatment equipment electrolysis equipment membrane separation filtration system offer wide range product include high grade wastewater treatment equipment electrolyzer reverse osmosis RO equipment purification water equipment EDI high purity water equipment feilix leader water treatment membrane separation industry establishment complete numerous scientific research project high quality engineering project company commit provide high value product service customer strong focus customer satisfaction installation services ultrafiltration systems manufacturer soft water manufacturer manufacturing highpressure water treatment equipment manufacturer research and development reverse osmosis systems manufacturer fiberglass water treatment equipment manufacturing water supply  water treatment sewage treatment facilities,"['water treatment services', 'waste management services', 'stakeholder services']",['water treatment services']
Trademark Homes Center mobile home dealer locate Monticello offer variety home build Destiny Home Builders home build pride attention detail feature standard upgrade option Energy Star Rating 8 ceiling expose beam stainless appliance build microwave 8 ft ceiling offer range model include Providence Champion Boujee XL Maddux unique feature option company pride provide excellent customer service assistance home buying process mobile home dealership providence by destiny home builders stainless steel appliances 2bedroom 2bath porch model home real estate services boujee xl4 bed 3 bath home of champions manufactured home dealership retail motor homes trailers  rvs  dealers  rentals manufactured mobile home dealers,"['mobile home construction services', 'stakeholder services', 'rendering services']","['mobile home construction services', 'real estate services']"
company low cost airline aim provide well travel experience affordable travel options travel services air transportation services lowcost airline services travel booking platform services airline companies other nonscheduled air transportation,"['travel services', 'rendering services']",['travel services']
MR Engineering lead provider high precision machine metal plastic part specialize Davenport screw machining cnc turning CNC milling 48 year machining experience expertise tackle difficult technical challenge CNC Lathe CMC Swiss CMM Mill Multispindle Davenports machine partner customer extension supply chain manufacture high precision machine part provide assembly kitting special packaging stock dock vendor manage inventory program MR machining approach involve build future deliver speed precision solid partnership Nadcap special processor deliver quote shipment 30 90 day as9100 rev d certified engineering iso 9001 certification plastic products manufacturing packaging services dock to stock programs customized packaging solutions screw machine products iso90012015 certified assembly services high precision machined metal components aerospace and defense vendor managed inventories kitting services screw machining services inventory management multispindle davenport machines justintime programs dock to stock supplier services vendor management inventory services itar compliant precision cnc machined parts manufacturer manufacturing machinery parts manufacturer precision turned product manufacturing,"['plastic manufacturing', 'stakeholder services', 'non-profit management']",['industrial machinery installation']
AI Bhagwati Services company provide powder coat service Shalimar Bagh main function offer powder coat solution client area manufacturing powder coating services manufacturing metal plating polishing  coloring metal coating engraving except jewelry and silverware and allied services to manufacturers,['rendering services'],['metal coating & engraving services']
Poi Dance company offer individual lesson taster course beginner continuous class Poi dance originate New Zealand Poi vibrate device consist chain string weight end come version glow poi kiwido practice poid firepois poie swing body music pair varied track promote coordination skill concentration ability rhythm sense company aim promote fun enjoyable dance experience short taster courses rhythm sense improvement concentration capacity continuous classes dance movements and coordination skills individual lessons fire and light shows education dance schools fine arts schools,"['training services', 'arts services', 'rendering services']",['fine arts schools']
Kube Systems company specialize designing manufacture innovative charging solution hospitality industry product include wireless drop charge device high speed portable charging charge smartphone tablet camera wearable technology AC output laptop offer tailor solution hotel guest mobile device charge property Kube Systems provide affordable upgradeable compact multi device charger fit budget charge solution type hotel hardware upgradeable replaceable allow hotel stay ahead global charging standard Kubesystems win award wireless charge solution product design exceed guest expectation tailormade solutions for hospitality industry wearable technology inroom charging amenities solution design hospitality equipment manufacturing kube essentials ac output for laptops highspeed charging unprecedented charging convenience brand loyalty kubes 5 portable wireless charging solutions for hospitality charging of all smartphones tablets cameras alarm clocks qi wireless charging pads manufacturing electronics stores other communications equipment manufacturing,"['accessory manufacturing', 'stakeholder services', 'business development services']",['electronics manufacturing']
AgroLobob family own company year experience agriculture industry constantly work progress evolve late technology provide innovative solution monitoring protect crop flagship product bob agricultural smartwatch allow user track control growth harvest million fruit vegetable bob equip sensor monitor quality quantity produce AgroLog system provide real time datum crop production yield AgroLub aim create international version bob platform regardless location believe increase global population decrease biomass world food supply lead future food war crop monitoring  protection solutions cattle monitoring  defense services smart farming solutions advanced technology for crop monitoring agricultural technology solutions calf monitoring  defence systems manufacturing farms  agriculture production crop harvesting primarily by machine,['rendering services'],"['agriculture technology services', 'smart farming solutions']"
Rum multipurpose website CMS offer range service include business presentation corporate website construction website organization solution ecommerce job broadband internet service provider isp wifi business portfolio resume CV etc design easy customize compatible desktop laptop mobile major browser company main goal market product jordanian debtor unable enter local market establish marketing mechanism handmade product handmade food product Rum aim help debtor pay debt secure material income achieve family stability textile products multipurpose websites website customization services chocolate products healthy seed products wheat flour job listings broadband services oil products internet services provider virgin olive oil cv etc resume creation it solutions handmade food marketing mechanisms clay pottery organic products mosaic products business wifi medium to largesized plates pickles products coffee cups portfolio management magnetic shapes soap gift boxes manufacturing edible oils manufacturing  distribution soybean and other oilseed processing,"['online marketing services', 'e-commerce services', 'marketing services']","['it services', 'website development services', 'handmade product retailers']"
Shaji Farm cattle farm locate Palanpur Gujarat India 112  cattle feedlots industry agriculture wholesale livestock  animal raising livestock merchant wholesalers,"['rendering services', 'livestock dealer services', 'animal feed manufacturing']",['livestock production']
VADO Commodities Group physical commodity supplier offer integrate supply solution product geography subsidiary VADO Group investment group operate financial service real estate development software development mining venture capital investment integrated supply commodities supplier energyefficient products supplier mining nonmetallic minerals supplier services agricultural products suppliers financial services robust supply chain venture capital investment group real estate development software development manufacturing minerals earths  ores iron ore mining,"['financial services', 'business development services']","['mining and commodities trading', 'financial services', 'agricultural product distribution']"
Attic N Reality sro real estate agency locate Praha 5 Czech Republic company specialize real estate service property sale purchase rental development project residential real estate offer legal service include collaboration mortgage bank option apply loan mortgage property agency place great importance transparency sale process professionalism real estate agent employee additionally Attic r reality s Form N Ingenieriering involve realty development project real estate services legal services property acquisition brokerage services property management services tax declaration processing project development real estate sales and rentals residential properties services real estate  agents  managers offices of real estate agents and brokers,"['real estate services', 'legal services', 'rendering services']","['real estate services', 'legal services']"
Petlas Tyres tire manufacture company offer wide range tire driving condition provide summer winter tire different type vehicle include car suv 4x4s Petlas offer tire finder tool allow customer search tire base vehicle model provide information tire tread compound company offer variety tire brand include Ako Akocm Ako CRM tire portal dealer sell product 4x4 suv tires tyre manufacturer pro green pt525 multi action pt565 snow master w601 elegant pt311 manufacturing breaks wheels  tire dealers tire manufacturing except retreading,"['rubber manufacturing', 'travel services', 'accessory manufacturing']",['tire manufacturing']
Diagnos 360 company dedicate precision medicine offer personalize treatment patient complex disease short possible time mission provide high quality process management solution patient affect complex disease coordinate excellent technical technological equipment worldwide specialize interventional oncology exciting fast grow area innovation cancer care Diagnos 360 offer new approach oncología intervencionista minimally invasive clinical specialty serve patient option provide chance prolong life maintain quality life offer rapid effective response patient complicated disease start diagnosis dimension continue multimodal treatment multimodal therapy coordination of technical and technological actions assistance in managing the treatment process precision medicine pathological anatomy rapid and focused responses personalized cancer treatment molecular biology medical imaging international second opinions medical clinic specializing in minimally invasive hormone replacement therapy services radiology clinic diagnostic imaging centers,"['corporate responsibility services', 'rendering services', 'advertising services']","['medical diagnostic services', 'precision medicine services']"
Sapi Bali Bojong Kulur cattle farm locate Gunung Putri West Java Indonesia agriculture cattle feedlot operations wholesale livestock  animal raising livestock merchant wholesalers,"['livestock dealer services', 'marketing services', 'animal feed manufacturing']",['livestock production']
specialize provide comprehensive service garden technology comprehensive service for garden technology comprehensive service provider retail services welding services other foundation structure and building exterior contractors,"['gardening services', 'welding services', 'landscaping services']","['retail services', 'welding services']"
Cacau Rô Vieira Chocolate Artisan company specialize artisanal chocolate product offer variety chocolate item order online delivery artisanal chocolate production manufacturing bakeries  desserts confectionery manufacturing from purchased chocolate,"['confectionery manufacturing', 'e-commerce services', 'rendering services']","['desserts, confectionery and nut retailers', 'confectionery manufacturing']"
Digi Tech Solution online portal provide information tip Nuclear Technology Education Technology Space Technology company aim stop blog technology relate information cover topic impact space technology science scientist investigation room relate environmental element development China hand starter aircraft carrier space information technology services information technology blogging manufacturing aircraft parts  services guided missile and space vehicle manufacturing,"['rendering services', 'content creation services']","['information technology services', 'aerospace and defense']"
Shanghai Yijian Intelligent Technology Co Ltd high tech enterprise specialize provide industrial grade 3d print application solution company base Shanghai China affiliate Chinese Academy Sciences 3d printing museum core concept meet user need focus application value systematic integration domestic international technology resource 3d printer design research development operation offer integrate development platform 3 d printing app provide user systemic 3 printing solution include 3d printer process material print service fast molding headquarters company locate Shanghai Baoshan Intelligent Bay Museum 3D Printing 3d printing solutions for various industries materials and processes rapid prototyping design research and development application development platform manufacturing industrial machinery  supplies all other industrial machinery manufacturing,"['printing services', 'seo services', 'stakeholder services']","['3d printing services', 'industrial machinery manufacturing']"
Mia R Kelly multimedia content creator base Los Angeles California specialize video produce video editing cinematography Mia work explore transnational identity human condition passionate create viral internet video social medium video platform work video editor Crooked Media YouTube page edit daily episode popular show like Pod save World Hysteria Lovett leave day Mia work creative lead ATTN original series need Embrace Afford life conceptualize market video execute pre production production post production duty video producer production assistant social medium intern Mia proficient Adobe Premiere Pro Adobe Photoshop Adobe Effects Final Cut Pro Microsoft Office Suite social media content creation media production services preproduction services social media video production media content creation services services video and audio production motion picture and video distribution,"['content creation services', 'media production services', 'social media services']","['media and entertainment', 'video and audio production']"
Alan King Group global brand group specialize apparel manufacturing private label service brand aking clothing manufacturing streamline process from manufacturing to marketing specialized quality control private label manufacturing garments made to customer specifications shoes handcut and sewn garments hangtags packaging denim zippers hats and jewelry marketing consulting expedited apparel production pipeline manufacturing clothing stores cut and sew apparel contractors,"['apparel manufacturing', 'branding services', 'quality assurance services']","['apparel manufacturing', 'private label manufacturing']"
Maderas Murga family own forestry sawmill company operation generation company specialize transformation pine wood know Insignis pine panel plank quality size Maderas Murry source raw material sustainable forest focus Radiata Pine proximity factory allow great control woodland pine wood for sawmilling woodenamel production woodworking cost estimation sawmill company panel production control of highgrade raw materials panel deck manufacturing wooden products manufacturing sustainable forest sourcing manufacturing wood building material stores sawmills,"['wood product manufacturing', 'corporate responsibility services', 'furniture manufacturing']","['wood product manufacturing', 'sawmills', 'sustainable forestry']"
Supeer Buy UE company offer wide range product category kitchen pet fashion beauty health fishing camping provide variety item include camera smartwatche laptop holder sneaker fitness equipment knee pad tennis shoe customer sign early sale access receive tailor new arrival trend promotion company offer coupon competitive price ultra smart watch kneepad releathertennis shoe knee pads exercise equipments fit products womens running shoes retailing braces summer shoes retail buyback shops warehouse clubs and supercenters,"['seo services', 'rendering services']","['retail services', 'warehouse clubs and supercenters']"
Fertilab BV young dynamic agricultural independent laboratory locate Dronten specialize soil plant matter water fertilizer analysis laboratory equip modern equipment believe principle measurement develop method Fertilyse soil analysis meet plant available nutrient Fertillab use prove natural chemical analysis method plant matter fertilizer team consist experienced customer orient laboratory employee open meet client need water analysis agriculture fertilizer application agricultural laboratory services plant material analysis soil analysis services environmental engineering services testing laboratories and services,"['laboratory services', 'soil nutrient application services', 'testing and inspection services']","['agricultural laboratory services', 'environmental testing services']"
GVG Glasfaserfaser GmbH german company specialize production high quality fiberglass product company place strong emphasis importance train employee establish academy GVG Akademie education training program academy offer range course training opportunity interested pursue career fiberglass industry academy learn material currently publicly accessible staffing services services glaziers  glass products glass and glazing contractors,['training services'],"['glass and glazing contractors', 'staffing services']"
Prima Rosa Studio company specialize create content project experience promote socially ethically aware innovation use emerge technology produce sound music immersive project promote awareness environmental issue improve wellbee current project include Music Wellbeing project use music enhance possibility create inner calm Climate Music collaborative project sonifie climate datum highlight global change environmental condition innovation studio climate change music immersion projects health and wellbeing improvement environmental awareness promotion immersive audiovisual projects music wellbeing project audio production services audiovisual experiences services art  music publishers other sound recording industries,"['content creation services', 'media production services', 'seo services']","['media and entertainment', 'sound recording and music publishing', 'environmental awareness projects']"
